video_name,sample,configuration,yellow_level,green_fraction,repetition,temperature_range_c,order,note
FLIR0626,Glass only,1,8,1/1,1,20-50,normal,
FLIR0627,Glass only,1,8,1/1,2,20-50,normal,
FLIR0628,Glass only,1,8,1/1,3,20-50,normal,
FLIR0629,ITO only,1,8,1/1,1,20-50,normal,
FLIR0630,ITO only,1,8,1/1,2,20-50,normal,
FLIR0631,ITO only,1,8,1/1,3,20-50,normal,
FLIR0632,PVK semitransparent,1,8,1/1,1,20-50,normal,
FLIR0633,PVK semitransparent,1,8,1/1,2,20-50,normal,
FLIR0634,PVK semitransparent,1,8,1/1,3,20-50,normal,
FLIR0635,PVK opaque,1,8,1/1,1,20-50,normal,
FLIR0636,PVK opaque,1,8,1/1,2,20-50,normal,
FLIR0637,PVK opaque,1,8,1/1,3,20-50,normal,
FLIR0638,PVK opaque,1,8,1/1,,20-50,normal,Optional/uncertain; decide after quality check
FLIR0639,PVK opaque,2,4,1/16,1,20-50,reverse,
FLIR0640,PVK opaque,2,4,1/16,2,20-50,reverse,
FLIR0641,PVK opaque,2,4,1/16,3,20-50,reverse,
FLIR0642,PVK semitransparent,2,4,1/16,1,20-50,reverse,
FLIR0643,PVK semitransparent,2,4,1/16,2,20-50,reverse,
FLIR0644,PVK semitransparent,2,4,1/16,3,20-50,reverse,
FLIR0645,ITO only,2,4,1/16,1,20-50,reverse,
FLIR0646,ITO only,2,4,1/16,2,20-50,reverse,
FLIR0647,ITO only,2,4,1/16,3,20-50,reverse,
FLIR0648,Glass only,2,4,1/16,1,20-50,reverse,
FLIR0649,Glass only,2,4,1/16,2,20-50,reverse,
FLIR0650,Glass only,2,4,1/16,3,20-50,reverse,
